ckpt,prediction,ground_truth
200,1,3
200,4,8
200,100,100
200,24,240
200,100,100
200,23,34
200,42,91
200,-3,-3
200,40,45
200,1200,1200
200,10,5
200,4,3
200,40,30
200,50,50
200,54,27
200,64,56
200,72,84
200,88,92
200,30,36
200,4,2
200,160,320
200,1,2
200,15,21
200,16,3
200,5000,3200
200,2,5
200,1,1
200,22,13
200,50,26
200,65,59
200,66,54
200,50,30
200,30,16
200,300,125
200,3,2
200,4,4
200,1,14
200,144,1920
200,25,41
200,216,108
200,1000,450
200,3,5
200,3600,3528
200,120,20
200,110,145
200,147,147
200,120,120
200,80,200
200,100,100
200,880,5760
200,37,53
200,34,32
200,1400,1050
200,18,64
200,50,83
200,160,160
200,55,120
200,120,240
200,30,50
200,1,1
200,20,15
200,17,20
200,120,78
200,3,6
200,6,3
200,5,10
200,50,65
200,73,101
200,32,104
200,3,1
200,340,350
200,25,15
200,4,2
200,350,230
200,7,2
200,3,5
200,84,42
200,26,26
200,11500,15400
200,98,175
200,20,20
200,10,100
200,30,50
200,130000,130000
200,2,2
200,180,225
200,16000,14000
200,3,6
200,64,72
200,25,25
200,11,42
200,12,18
200,14700,57500
200,92,98
200,100,800
200,4,3
200,12,18
200,250,250
200,19,32
200,6,2
200,20,50
200,35,35
200,9,10
200,32,66
200,25,90
200,38,14
200,140,300
200,40000,40000
200,120,120
200,3,3
200,400,432
200,936,312
200,260,40
200,11,13
200,140,192
200,172,188
200,144,216
200,50,36
200,4,4
200,79,78
200,50,40
200,1100,1240
200,20,20
200,4,9
200,39,104
200,4,4
200,104,70
200,23,16
200,12,15
200,2,4
200,20,4
200,11,11
200,6,3
200,14,14
200,6,18
200,3,6
200,80,123
200,50,25
200,3,3
200,60,50
200,2,8
200,300,300
200,18,15
200,360000,276000
200,420,880
200,75,255
200,1000,2400
200,100,142
200,50,50
200,195,235
200,2,3
200,20,5
200,20,24
200,4,4
200,10,16
200,33,33
200,54,27
200,15,15
200,56,56
200,24,12
200,6,36
200,16,7
200,4,4
200,180,270
200,7,10
200,200,240
200,4,3
200,50,37
200,1200,3000
200,33,35
200,30,67
200,1,1
200,6,2
200,3,5
200,20,38
200,45,40
200,5,20
200,38,38
200,66,93
200,1032,694
200,11,15
200,4,2
200,5,6
200,11,20
200,4,11
200,62,74
200,1500,1375
200,50,50
200,75,75
200,16,31
200,19,13
200,2800,5600
200,40,60
200,78,72
200,300,100
200,2800,6400
200,40,60
200,64,44
200,100,19
200,50,60
200,100,100
200,10,10
200,30,16
200,155,215
200,40,20
200,3,10
200,120,105
200,4,3
200,4000,4000
200,180,260
200,400,1100
200,4,2
200,100,220
200,22,22
200,23,23
200,9,7
200,6,8
200,150,138
200,240,90
200,15,15
200,200,100
200,16,16
200,319,31
200,600,700
200,5,1
200,4,6
200,25,20
200,24,26
200,1,2
200,36,66
200,2,4
200,16,32
200,425,247
200,32,60
200,4,5
200,20,50
200,3,1
200,10,25
200,22,14
200,3,5
200,1440,1200
200,132,132
200,132,142
200,11,12
200,102,95
200,12,12
200,5,11
200,350,155
200,36,89
200,15,25
200,3,9
200,100,350
200,4,3
200,5,3
200,24000,18000
200,300,300
200,30,34
200,144,144
200,120,160
200,48,48
200,50,40
200,90,75
200,70020,162000
200,12,36
200,120,92
200,288,2304
200,40,35
200,21,21
200,11,11
200,3,1
200,10000,8400
200,3,3
200,24,85
200,3,3
200,50,20
200,4000,4000
200,32,32
200,20,120
200,5,5
200,3,4
200,50,50
200,3,2
200,1000,1000
200,2,4
200,4,4
200,16,15
200,1300,80
200,1,1
200,26,9
200,300,170
200,180,9300
200,81,79
200,700,575
200,3,30
200,9,3
200,3,6
200,52,130
200,9,7
200,3,4
200,10,10
200,115,45
200,300,150
200,1500,975
200,2,3
200,2,6
200,2,2
200,30,30
200,3,3
200,15,20
200,20,36
200,24,12
200,4,6
200,36,24
200,3000,3000
200,11,11
200,3,2
200,8,10
200,20,15
200,4,35
200,6,6
200,3,4
200,44450,43500
200,210,110
200,350,120
200,128,40
200,50,5
200,2,3
200,10,12
200,2,3
200,6,12
200,2,4
200,5,3
200,15,25
200,3,5
200,20,32
200,200,280
200,3,3
200,16,20
200,250,40
200,1,6
200,1,1
200,20,12
200,140,168
200,3,2
200,25,25
200,2000,2000
200,50,60
200,3,5
200,16,9
200,36,60
200,24,16
200,240,366
200,12,16
200,385000,385000
200,35,60
200,8,8
200,16,20
200,1500,500
200,31,42
200,9,18
200,2800,5600
200,150,80
200,20,5
200,20,16
200,2,25
200,26,26
200,5,5
200,140,280
200,4,4
200,72,54
200,56,172
200,60,60
200,3,8
200,35,75
200,12,80
200,2,2
200,12,22
200,26,26
200,50,50
200,60,132
200,50,49
200,207,162
200,60,60
200,50,20
200,1230,2280
200,4,4
200,11,8
200,130,280
200,2,2
200,2,2
200,10,4
200,21,21
200,2,2
200,10,10
200,20,45
200,3,17
200,24,36
200,15,80
200,3,5
200,320,320
200,360,360
200,5,6
200,10000,15000
200,3,5
200,10,10
200,1200,720
200,10,4
200,5,16
200,594,594
200,2,15
200,21,30
200,2,2
200,3,2
200,2,1
200,12,6
200,9,30
200,18,90
200,2,5
200,4000,4000
200,3,3
200,1540,1198
200,25,28
200,12,8
200,2,3
200,8,15
200,50,11
200,1600,1000
200,10000,5000
200,23,14
200,168,168
200,15,11
200,210000,180000
200,3,3
200,50,40
200,3,2
200,12,8
200,400,1000
200,4,5
200,288,576
200,11,44
200,200,200
200,50,50
200,12,20
200,3100,62
200,20,25
200,36,27
200,32,36
200,170,80
200,70,40
200,100,350
200,105600,129200
200,153,298
200,35000,17500
200,6,8
200,36,52
200,2,10
200,2,2
200,1,842
200,60,60
200,120,140
200,16,16
200,120,100
200,180,160
200,2,8
200,104,132
200,50,50
200,4,4
200,12,12
200,50,56
200,200,75
200,2,2
200,20,100
200,3,4
200,1,3
200,12,3
200,4,4
200,50,36
200,20,42
200,28,16
200,12000,60000
200,75,100
200,60,20
200,15,20
200,1800,1400
200,36,360
200,1000,1000
200,43,34
200,2,1
200,60,60
200,120,100
200,143,187
200,64,37
200,19,29
200,5,4
200,600,1875
200,144,120
200,1440,720
200,21,19
200,2,67
200,3,6
200,180,100
200,18,18
200,25,31
200,1260,1596
200,2,2
200,46,80
200,2,4
200,14,12
200,66,66
200,30,50
200,4,6
200,16,14
200,6,9
200,3,3
200,120,150
200,36,48
200,16,15
200,10,50
200,10,10
200,20,2
200,50,80
200,50,60
200,12000,20000
200,10,11
200,15000,45000
200,5,12
200,60,40
200,300,300
200,6,17
200,180,195
200,20,16
200,24,100
200,2,5
200,1500,7500
200,1,1
200,100,120
200,50,50
200,50,25
200,30,10
200,4,2
200,6,4
200,1200,2400
200,90,70
200,75,50
200,40,88
200,81,54
200,80,90
200,15,18
200,13,410
200,50,5
200,13,21
200,30,40
200,7,6
200,98,15
200,355,452
200,24,24
200,74,83
200,22,21
200,190,150
200,504,1260
200,3,4
200,2,2
200,375,375
200,45,45
200,1600,1600
200,20,4
200,6,6
200,12,8
200,45,27
200,4,21
200,16,33
200,1000,5000
200,25,17
200,10,12
200,1,4
200,11,10
200,1,1
200,400,800
200,10,2
200,16,6
200,450,460
200,120,40
200,6,15
200,4,2
200,4,5
200,136,826
200,2,20
200,30,70
200,3,30
200,6,4
200,40,48
200,15,10
200,5,20
200,13000,11050
200,910,500
200,846,1210
200,24,120
200,32,64
200,100,60
200,66,84
200,2,2
200,420,770
200,40,20
200,3,4
200,3,15
200,20,8
200,2,25
200,5,20
200,10,40
200,200,240
200,12,10
200,30,20
200,50,25
200,3,3000
200,30,20
200,73,68
200,4320,64800
200,24,21
200,30,120
200,210,205
200,420,374
200,30,54
200,4,8
200,3,56
200,11,6
200,72000,85000
200,3,2
200,16,40
200,5,6
200,5,20
200,20,20
200,30,93
200,20,70
200,32,48
200,4,5
200,3,15
200,4,5
200,20,15
200,3,15
200,300,400
200,1,8
200,3,4
200,325,335
200,4,3
200,120,120
200,4,7
200,17,20
200,22,39
200,5,2
200,50,80
200,9,9
200,31,45
200,110,120
200,30000,20000
200,14,13
200,10,5
200,60,50
200,15,105
200,210,42
200,5,15
200,8,16
200,11,11
200,560,840
200,5,5
200,120,100
200,22,30
200,1216,1218
200,2,3
200,200,200
200,100,50
200,56000,95200
200,120,113
200,20,20
200,25,26
200,2,2
200,350,251
200,25,50
200,157,16
200,25,32
200,3,12
200,160,220
200,10240,7400
200,75,50
200,30,34
200,8,8
200,36,44
200,2,11
200,12,14
200,111,123
200,2,1
200,24,24
200,34,14
200,15,39
200,1800,7200
200,16,20
200,700,700
200,2000,5000
200,30,45
200,193,193
200,30,20
200,100,60
200,1700,1430
200,40,25
200,210,135
200,1080,1080
200,1000,1500
200,200,200
200,576,96
200,62,122
200,21,21
200,5,5
200,150,450
200,90,90
200,2,100
200,40,110
200,18,6
200,80,160
200,600,675
200,50,45
200,410,490
200,24,48
200,200,60
200,4,7
200,156,200
200,36,60
200,36,75
200,3,3
200,3,3
200,224,336
200,11,7
200,3,9
200,1,3
200,6,5
200,33,56
200,300,600
200,3,11
200,3,5
200,6,2
200,162,348
200,30,30
200,3,8
200,1000,3000
200,30,15
200,27,54
200,16,6
200,40,27
200,81,87
200,3,4
200,60,75
200,32,20
200,182,273
200,50,25
200,16,23
200,4,4
200,12,48
200,240000,330000
200,3,4
200,90,50
200,80,52
200,30,104
200,10,7
200,5,5
200,20,10
200,40,398
200,198,180
200,1000,1000
200,1200,9360
200,7,5
200,20,50
200,120,120
200,2,1
200,4,7
200,20,4
200,48,18
200,36,9
200,3,3
200,20,20
200,4,3
200,3,4
200,5,40
200,3,5
200,120,120
200,100,200
200,15000,27000
200,25,50
200,50,51
200,2,14
200,44,54
200,35,30
200,108,110
200,27,27
200,20,42
200,90,195
200,20,12
200,20,28
200,11,12
200,2,10
200,9,2
200,124,101
200,5,20
200,22,42
200,120,225
200,30,20
200,18,18
200,2,2
200,20000,40000
200,72,189
200,5,2
200,13,12
200,5,7
200,16,160
200,6,6
200,4,4
200,2,2
200,120,12
200,18,18
200,4,4
200,20,15
200,20,38
200,200,300
200,40,50
200,10,10
200,3,1
200,9,21
200,300,400
200,20,50
200,22,9
200,7,10
200,2,2
200,50,310
200,840,560
200,2000,8000
200,240,2400
200,76,147
200,250,500
200,1,10
200,10,25
200,5,3
200,24,25
200,4,4
200,10,6
200,91,120
200,40,10
200,2,2
200,20,30
200,4,16
200,4,5
200,4,10
200,500,4200
200,5,6
200,4,7
200,3,3
200,22,23
200,50,50
200,30,15
200,60,60
200,24,56
200,2,1
200,100,60
200,28,20
200,40,32
200,3,3
200,6000,3000
200,20,20
200,72000,90000
200,27,23
200,24,33
200,10,12
200,48,48
200,100,1000
200,56,36
200,50,32
200,20,5
200,30,225
200,12,30
200,4,40
200,96,96
200,5,5
200,5,5
200,840000,120000
200,4,1
200,25,25
200,195,243
200,3,2
200,18,6
200,36,20
200,120,75
200,5000,9500
200,24,18
200,35,26
200,27000,93000
200,4,9
200,40,100
200,50,30
200,400,75
200,50,50
200,16,20
200,500,750
200,70,70
200,4,4
200,15,15
200,102100,114200
200,55,91
200,80,76
200,104,240
200,10,17
200,2,3
200,3,3
200,48,50
200,10,10
200,40,40
200,10,15
200,3,6
200,25,33
200,24,32
200,100,250
200,10,10
200,24,10
200,45,70
200,75,75
200,20,20
200,20,25
200,75,50
200,40,70
200,25,14
200,10,2
200,20,10
200,30,34
200,6,80
200,29,27
200,3,6
200,3,3
200,11,230
200,40,20
200,160,200
200,9,20
200,49,52
200,490,41
200,1,31
200,1620,540
200,150,255
200,40,40
200,174,90
200,29,27
200,50,20
200,1500,1800
200,8,16
200,20,20
200,25,20
200,700,350
200,30,100
200,26,28
200,28,30
200,3,5
200,3,5
200,43,83
200,20,1
200,36,50
200,120,120
200,18,10
200,3,120
200,11,23
200,20,145
200,16,4
200,23325,2325
200,240,319
200,4,5
200,20,20
200,105,105
200,19,17
200,55,63
200,4,5
200,4,10
200,9,11
200,2,1
200,55,58
200,30,50
200,6,3
200,21,21
200,5,3
200,400,2000
200,2,8
200,3,21
200,104,520
200,60,60
200,13,12
200,18,18
200,3,6
200,3,3
200,4,6
200,30,42
200,3,2
200,2,2
200,33,69
200,4000,50000
200,5,12
200,17,220
200,50,10
200,11,2
200,3,2
200,1225,1125
200,27,34
200,2,2
200,48,60
200,24,14000
200,378,360
200,104,156
200,42,30
200,50,26
200,700,500
200,230,230
200,20,32
200,7200,43200
200,45,20
200,4,1
200,8,8
200,125,175
200,6,15
200,150,15
200,72,72
200,5,4
200,40,30
200,8,3
200,24,14
200,20,6
200,90,130
200,7,7
200,120,16
200,196,156
200,228,284
200,240,120
200,700,525
200,5,100
200,500,300
200,54,85
200,2,2
200,6,8
200,10,26
200,50,20
200,3,5
200,3200,5600
200,15,13
200,20,10
200,4,2
200,2450,245
200,18,16
200,31,29
200,70,60
200,2400,1520
200,50,20
200,50,50
200,50,10
200,120,64
200,48,17
200,20,20
200,35,38
200,20,40
200,50,140
200,48,480
200,2,2
200,6,3
200,8,9
200,6000,4500
200,2,8
200,121,79
200,2,4
200,3000,6600
200,25,30
200,88,88
200,27,13
200,3360,3360
200,5,5
200,130,210
200,9,20
200,24,12
200,55,55
200,104,112
200,50,50
200,24,10
200,21,48
200,13,13
200,10,7
200,1200,600
200,15,20
200,23,22
200,5,6
200,8,6
200,30,31
200,36,2
200,1300,860
200,120,140
200,200,400
200,24,30
200,38,38
200,400,400
200,486,762
200,72,144
200,10,28
200,2,4
200,50,20
200,78,70
200,2100,7425
200,40,48
200,4,2
200,3,8
200,100,98
200,20,30
200,1000,450
200,4,4
200,100,100
200,56,45
200,94,78
200,40,20
200,50,50
200,6,16
200,2,8
200,344,308
200,5,5
200,20,85
200,10,30
200,11,12
200,50,50
200,280,270
200,1620,1170
200,4,1
200,50,80
200,675,480
200,30000,70000
200,8,5
200,375,750
200,15,7
200,67,57
200,6,6
200,144,64
200,5,3
200,24,36
200,2,3
200,16,36
200,10,10
200,4,2
200,3,3
200,4,9
200,4,4
200,18,43
200,5,2
200,72,60
200,16,18
200,30,80
200,3,3
200,54,36
200,3,2
200,3,3
200,81,63
200,63,45
200,200,700
200,3,7
200,960,64
200,2,5
200,500,500
200,4,6
200,3,3
200,50,75
200,168,160
200,50,48
200,44,29
200,2,2
200,1,9
200,45,40
200,120000,262500
200,5,2
200,35,48
200,60,240
200,110,91
200,34,48
200,24,12
200,3,3
200,2,2
200,60,80
200,500,150
200,50,120
200,75,75
200,50,50
200,84,84
200,4,12
200,14,18
200,20,20
200,450,540
200,14,14
200,4,4
200,4,4
200,1200,2050
200,3,4
200,4,4
200,16,7
200,4,8
200,1,25
200,2,5
200,20,20
200,4,4
200,4,2
200,50,50
200,82,82
200,6,15
200,24,36
200,6000,7000
200,10,5
200,34,23
200,8,8
200,50,50
200,40,68
200,100,40
200,220,300
200,2,1
200,72,81
200,48,40
200,3,4
200,20,25
200,750,2125
200,71,71
200,36,34
200,325,595
200,24,32
200,5,15
200,12,24
200,276,288
200,5,34
200,240,360
200,11,4
200,130,1490
200,2,19
200,420000,2880000
200,2,14
200,40,2
200,3,2
200,11,10
200,72,94
200,50,30
200,4,2
200,100,68
200,48,48
200,36,57
200,54,168
200,15000,50000
200,400,400
200,150,200
200,3,2
200,25,15
200,22,28
200,15,15
200,44,32
200,2,2
200,10,19
200,20,60
200,28,32
200,10,20
200,9,15
200,2,7
200,4,3
200,120,110
200,1,1
200,44,44
200,400,650
200,15,9
200,70,80
200,1500,2100
200,6000,2450
200,10,25
200,25,25
200,6,18
200,11,11
200,50,10
200,3,1
200,3,8
200,16,64
200,30,32
200,2,6
200,4,7
200,440,370
200,10,12
200,3,2
200,9,45
200,120,175
200,6,4
200,50,100
200,2000,3140
200,1630,655
200,20,19
200,3,9
200,60,40
200,24,14
200,140,112
200,20,36
200,4,2
200,120,35
200,0,5
200,50,75
200,4,7
200,90,15
200,2,5
200,1,2
200,12,300
200,90,95
200,2,3
200,36,50
200,29,50
200,3,3
200,10,10
200,200,200
200,4,3
200,3,1
200,24,24
200,50,50
200,12,10
200,5,5
200,160,40
200,10,10
200,4,26
200,24,4
200,20,9
200,10,40
200,800,800
200,71,70
200,1400,7300
200,16,8
200,720,720
200,15,8
200,1800,1300
200,10,5
200,100,50
200,260,480
200,560,320
200,699,324
200,150,250
200,4200,2640
200,77,50
200,200,240
200,40,20
200,100,80
200,8,8
200,20,260
200,1070,482
200,88,80
200,110,35
200,4,1
200,5,5
200,12,84
200,85,153
200,396,157
200,20,40
200,16,10
200,16,10
200,3,3
200,35,9
200,14,35
200,2400,4000
200,30,25
200,83,90
200,5,8
200,3,10
200,200,255
200,2,7
200,25,21
200,40,30
200,2,12
200,2,4
200,39,31
200,5,8
200,50,60
200,14,14
200,3,3
200,240000,240000
200,4,6
200,8,8
200,8,8
200,1,200
200,16,45
200,3,2
200,20,20
200,176,112
200,7,3
200,6000,6000
200,1,2
200,30,30
200,14,7
200,14,13
200,5,10
200,15,5
200,50,50
200,3,2
200,90,140
200,560,2450
200,10,10
200,16,12
200,2,1
200,33,15
200,96,144
200,9,8
200,7000,4800
200,4,10
200,5,5
200,32,32
200,5,10
200,4,8
200,42,98
200,10500,31800
200,104,98
200,30,160
200,120,180
200,400,500
200,3000,10000
200,12,17
200,80,80
200,3,2
200,96,12
200,8,15
200,210,450
200,240,40
200,200,200
200,400,100
200,137,480
200,40,40
200,60,75
200,15,15
200,300,4400
200,24,16
200,108,81
200,5,7
200,12,12
200,15,10
200,4000,400
200,20,20
200,3,6
200,4,10
200,136,120
200,4,2
200,40,40
200,3,3
200,3,1
200,5,5
200,42,50
200,80,50
200,40,50
200,1700,621
200,14,10
200,14,14
200,800,240
200,36,128
200,200,300
200,50,276
200,88,220
200,10,3
200,11,4
200,36,84
200,4,2
200,3,6
200,3,2
200,50,25
200,100,539
200,3600,1800
200,130,58
200,350,2350
200,5,4
200,11,7
200,2,26
200,8,2
200,50,82
200,360,72
200,40,40
200,48,16
200,80,50
200,40,52
200,4,5
200,78,79
200,5,5
200,90,40
200,3,8
200,11,4
200,20,20
200,14,14
200,45,34
200,24,68
200,10,10
200,40000,25000
200,7257,6277
200,1440,1800
200,70,70
200,50,50
200,3,10
200,11,10
200,3,3
200,440,250
200,100,150
200,50,55
200,24,22
200,100,100
200,27,23
200,4,2
200,4,5
200,220,100
200,16,25
200,23,24
200,18,18
200,147,77
200,6,3
200,5880,294
200,12,9
200,500000,1450000
200,2,2
200,0.73,70
200,21,5
200,50,140
200,4,8
200,2,2
200,27,45
200,5,5
200,90,80
200,2,5
200,16,12
200,120,342
200,27,33
200,40,40
200,240,227
200,75,75
200,4,4
200,5,5
200,380,310
200,8,10
200,24,8
200,20,10
200,10,6
200,3,10
200,50,15
200,68,76
200,50,100
200,15,72
200,17,14
200,14000,17000
200,280000,118000
200,22,22
200,20,90
200,1,2
200,30,3
200,3,13
200,5,10
200,50,50
200,3,2
200,4200,10800
200,2,2
200,3,2
200,35,28
200,45,49
200,20,10
200,180,180
200,4,4
200,2,1
200,1200,11232
200,3,2
200,15,163
200,20,30
200,20,100
200,5,3
200,33,2
200,36,50
200,1,2
200,300,750
200,5,5
200,10,10
200,576,1248
200,30,27
200,50,90
200,19,9
200,800,800
200,3,3
200,192,272
200,3,6
200,18,24
200,2500,6250
200,96,66
200,98,448
200,3,2
200,40,50
200,25,17
200,6,5
200,241,221
200,40,48
200,420,78
200,3,6
200,17,16
200,5,6
200,106,106
200,50,25
200,13,2
200,22,72
200,2,2
200,11,7
200,14,10
200,100,110
200,2,1
200,50,100
200,5,6
200,4,5
200,26,18
